SMILES,mol_id,qed,plogp_imp,sim
CC(C)CC(=O)Oc1ccc(C2CCCCC2)c2ccccc12,0,0.523631394,11.13242531,0.28169015
C=C([NH2+]C)C1=CC=CN([O-])[NH+]1CC1(P)CCC=C1,0,0.533473551,6.561144829,0.282051295
CC(C)CC(=O)Nc1cccc(C2CCCCC2)c1-c1ccc(Cl)cc1,0,0.601133764,12.33531189,0.209876537
CC(C)CCC(=O)Nc1cccc(C2CCCCC2)c1-c1ccccc1,0,0.611880124,12.11517429,0.227848098
CC(C)C(=O)c1cccc(C2CCCCC2)c1Nc1ccccc1,0,0.653095424,11.53493404,0.277777791
Cc1ccc(C(=O)Nc2ccccc2C(C)C)cc1C1CCCCC1,0,0.686124206,11.87178993,0.246753246
CC(C)CC(=O)N1CCC(c2ccccc2)C(C2CCCCC2)=N1,0,0.693379879,6.288728237,0.285714298
Cc1ccc(C(=O)Nc2ccccc2C(C)C)cc1C1CCCC1,0,0.731740773,11.50335217,0.233766228
CC(C)CC(=O)Nc1ccc(C2CCCCC2)n1Cc1ccccc1,0,0.73531723,11.47859573,0.239999995
CC(C)C(=O)Nc1ccc(-c2ccccc2)c(C2CCCCC2)c1,0,0.73531723,11.4780798,0.256756753
CCc1ccc(C(=O)Nc2ccccc2C2CCCCC2)c(C)c1,0,0.750768721,11.33792019,0.185185179
CC(C)NC(=O)n1cc(C2CCCCC2)c2ccccc21,0,0.751272142,11.29082298,0.226666674
CC(C)n1nc(C2CCCCC2)cc1C(=O)c1ccccc1,0,0.763566434,9.860724449,0.277777791
CC(C)NC(=O)c1ccc(C2CCCCC2)c(Oc2ccccc2)c1,0,0.763695717,11.13095284,0.236842111
Cc1ccc(C(=O)Nc2ccccc2C2CCCCC2)cc1C,0,0.784959316,11.21590805,0.213333338
CC(C)CC(=O)Nc1ccc(C2CCCCC2)cc1-c1ccccn1,0,0.786790252,11.03554153,0.260273963
CC(F)(CC(=O)Nc1ccccc1)C1=CCCCC1,0,0.794826746,11.14037323,0.207792208
CC(C)C(=O)Nc1ccc(C2CCCCC2)c2ccccc12,0,0.797557056,10.9467535,0.236111104
CC(C)NC(=O)c1ccc(-c2ccccc2)c(OC2CCCCC2)c1,0,0.813787818,10.67427731,0.239999995
CC(C)(C(=O)Nc1ccccc1C1CCCCC1)c1cc(N)n[nH]1,0,0.817602396,11.04874802,0.222222224
CC(C)C(=O)Nc1cc(-c2ccccc2)cn1C1CCCCC1,0,0.821373463,10.32065964,0.256756753
Cc1ccc(NC(=O)C2CCCCC2)cc1-c1ccccc1,0,0.8295874,10.9297905,0.216216221
CC(C)C(=O)Nc1cc(C2CCCCC2)cnc1-c1ccccc1,0,0.831275046,10.66718102,0.246575341
Cc1cc(NC(=O)C2CCCCC2)ncc1-c1ccccc1,0,0.835813105,10.55101585,0.227848098
CC1CCC(C(=O)Nc2ccccc2-c2ccccc2)CC1,0,0.835907638,10.81711388,0.194444448
CN(C(=O)Cc1ccccc1)[C]1[CH][CH][CH][C]1C=C1C=CC=N1,0,0.841491938,10.7829361,0.148148149
CC(C)CC(=O)Nc1ccccc1-c1ccc(Cl)cc1,0,0.842945874,10.76414204,0.159999996
Cc1ccc(C(=O)Nc2ccccc2)cc1C1CCCCC1,0,0.845467865,10.47949791,0.239436626
CC(C)C(=O)Nc1cc(C2CCCCC2)cn1-c1ccccc1,0,0.849851549,10.68898869,0.208333328
Cc1ccc(NC(=O)C2CCCC2)cc1-c1ccccc1,0,0.859473646,10.56979752,0.202702701
CC(C)C(=O)Nc1ccc(-c2ccccc2)nc1C1CCCC1,0,0.863192558,10.31569386,0.223684207
CC(C)C(=O)Nc1ccccc1-c1cc(C2CCCCC2)no1,0,0.865508139,10.10823727,0.259740263
CC(C)NC(=O)c1ccc(-c2ccccc2)nc1C1CCCCC1,0,0.866488278,10.30657482,0.243243247
Cc1ccc(C(=O)NC2CCCCC2)cc1-c1ccccc1,0,0.870972216,10.45639706,0.216216221
CC(C)(NC(=O)c1cc(NCCCO)ncn1)c1ccccc1,0,0.872400343,4.079509258,0.285714298
Cc1ccc(OC(=O)Nc2ccccc2C(C)C)cc1F,0,0.87433213,10.37347317,0.164556965
Cc1cc(NC(=O)C2CCCCC2)c(-c2ccccc2)c(C)n1,0,0.877332747,10.27142048,0.197368428
CC(C)Nc1ccc(C2CCCCC2)c2ccccc12,0,0.884236872,9.979599953,0.266666681
COc1ccc(C(=O)Nc2ccccc2F)c(C2CCCC2)c1,0,0.884749532,10.28215694,0.170731708
CC(C)NC(=O)c1ccc(OC2CCCCC2)c2ccccc12,0,0.889295459,10.11557198,0.232876718
Cc1ccc(C(=O)Nc2ccccc2)c(C2CCCCC2)n1,0,0.891915381,10.20880508,0.213333338
CC(C)C(=O)Nc1ccccc1C(=O)N1CCC(OCCO)=C1,0,0.893074155,9.925672531,0.233766228
Cc1ccc(C(=O)N2CCCCC2)cc1Nc1ccccc1C,0,0.893109322,10.32291508,0.155844152
CC(C)NC(=O)c1cc(C2CCCCC2)nn1Cc1ccccc1,0,0.898731709,9.346364021,0.263157904
CN(C)C(=O)c1cc(C2CCCCN2)[nH]c1CCc1ccccc1,0,0.90036881,9.861076355,0.243243247
Cc1ccc(C(=O)Nc2ccccc2N2CCCCC2)c(C)c1,0,0.902140737,10.20690918,0.150000006
Cc1ccc(C(=O)Nc2ccccc2)cc1N1CCC(C)CC1,0,0.906181216,10.15022278,0.177215189
CC(C)c1cc(C(=O)NC2CCCCC2)c2ccccc2n1,0,0.910594165,9.860665321,0.236842111
CC(C)c1cc(C(=O)NC2CCCCC2)nc2ccccc12,0,0.910594165,9.777274132,0.25333333
Cc1cc(C(=O)NC2CCCCC2)c(-c2ccccc2)nc1C,0,0.911205888,9.801163673,0.192307696
Cc1ccc(C(=O)N2CCCCC2)cc1Nc1ccccc1,0,0.91161716,10.10410213,0.15384616
Cc1ccc(N2CCCCC2)cc1NC(=O)c1ccccc1F,0,0.912100613,10.02286816,0.160493821
