SMILES,mol_id,qed,4lde,sim
O1CCc2c1nc(nc2c1ccccc1)c1ccccc1,0,0.713626617,9.9,0.511627907
O1C2(OCc3c(C2=O)cccc3)c2c(C1)cccc2,0,0.722890352,9.2,0.414634146
Clc1cc(NC(=O)ON2C(=O)c3c(C2=O)cccc3)c(OC)cc1OC,0,0.823778309,10,0.413043478
OC(c1ccccc1)/C=C\c1ccc(N(C)C)cc1,0,0.901127345,9.2,0.411764706
Clc1cc(Nc2[nH]c(nc(=S)c2CC)N)ccc1Cl,0,0.737401348,9.2,0.411764706
Clc1ccc(C2(O)CCN(CC3N4CCC(CC4)C3=O)CC2)cc1,0,0.909851357,9.7,0.405405405
O(c1cc(O)c(/N=C/C=C/c2ccccc2)cc1)CC,0,0.824528072,9.2,0.404255319
O(C(=O)Nc1cc2Cc3c(-c2cc1)ccc(NC(=O)C)c3)CC,0,0.773245452,9.9,0.403846154
Clc1c(c(NC(=O)/C=C/c2ccccc2)ccc1)C,0,0.828743266,9.5,0.396226415
S=C(Nc1cc(ccc1OC)C)NC(=O)C(Oc1ccccc1)C,0,0.815331349,9.1,0.388888889
Clc1c(NC(=O)NNc2ccccc2)cc(Cl)cc1,0,0.745468544,9.6,0.387755102
Clc1c(NC(=O)OCCCc2ccncc2)cccc1Cl,0,0.819400766,9.2,0.382978723
Clc1ccc(Cc2n(N3C(=O)C4C(CCCC4)C3=O)c(=O)[nH]n2)cc1,0,0.842450325,9.7,0.382978723
OC(=O)C(NC(=O)C(NC(=O)OCc1ccccc1)C)C(C)C,0,0.705858371,9.2,0.38
O=C1CC(CC(=O)C1C(=O)C)/C=C/c1ccccc1,0,0.780459716,9.5,0.38
O(c1c(cccc1)C(=O)OCc1ccccc1)C(=O)NC(C)C,0,0.857531671,9.5,0.377777778
S(=O)(=O)(N1CCc2c(C1)cccc2)c1ccc(N)cc1,0,0.859873206,10,0.377777778
Clc1cc(NS(=O)(=O)c2ccc(N)cc2)cc(Cl)c1N,0,0.752695319,9.3,0.377777778
O=C1N(C(=O)CC(C1)c1ccc(OC)cc1)c1nc(cc(n1)C)C,0,0.810972768,9.8,0.375
Clc1ccc(N2C(=O)CC(NC2=O)c2cc3OCOc3cc2)cc1,0,0.907620949,9.2,0.375
O(Cc1ccccc1)c1ccc(cc1)/C=C\C(=O)O,0,0.832053594,9.2,0.369565217
OC1C2(C(C3C(CC2)C2C(=CC(=O)CC2)CC3C)CC1)C,0,0.737107985,9.9,0.369565217
O1[C@H]([C@H]2[C@H]([C@@H](OC2)c2cc3OCOc3cc2)C1)c1cc2OCOc2cc1,0,0.825420318,9.9,0.369565217
Clc1cc(NC(=O)/C=C/c2ccccc2)c(OC)cc1,0,0.863278759,9.2,0.368421053
S(=O)(=O)(C1=CC2CC(=O)C1N(C2=O)Cc1ccccc1)c1ccccc1,0,0.831593372,9.1,0.368421053
